Method,Horizon,CV Group,LT,AR,VI,OFR,BO,EI
ES,One-step,0.2 < CV ≤ 0.3,2,2.055720329284668,1.2523548603057861,0.9050149321556091,9.490486145019531,18.918161392211914
ES,One-step,0.2 < CV ≤ 0.3,3,3.6196396350860596,3.1675121784210205,0.8921701312065125,10.789419174194336,32.43252182006836
ES,One-step,0.2 < CV ≤ 0.3,4,5.835626602172852,6.525086879730225,0.8794723749160767,11.834967613220215,48.86494064331055
ES,One-step,0.2 < CV ≤ 0.3,5,9.116515159606934,12.097931861877441,0.8655829429626465,12.027881622314453,66.9741439819336
ES,One-step,0.2 < CV ≤ 0.3,6,11.726123809814453,16.12481117248535,0.8677133917808533,11.026216506958008,78.05097198486328
ES,One-step,0.2 < CV ≤ 0.3,7,13.489235877990723,18.9241886138916,0.878445029258728,10.214646339416504,85.5182113647461
ES,One-step,0.2 < CV ≤ 0.3,8,14.911170959472656,23.65324592590332,0.8857759833335876,10.329992294311523,98.7017822265625
ES,One-step,0.2 < CV ≤ 0.3,9,16.83577537536621,31.630783081054688,0.8871837854385376,10.896463394165039,118.70885467529297
ES,One-step,0.2 < CV ≤ 0.3,10,19.72199058532715,41.3309211730957,0.8835625648498535,11.242667198181152,142.0955047607422
ES,One-step,0.3 < CV ≤ 0.4,2,1.8905290365219116,1.4090946912765503,0.887325644493103,7.613398551940918,17.168739318847656
ES,One-step,0.3 < CV ≤ 0.4,3,3.193180561065674,3.4493935108184814,0.8737369179725647,8.556500434875488,29.44424819946289
ES,One-step,0.3 < CV ≤ 0.4,4,4.998723030090332,6.88360595703125,0.8610737919807434,8.992118835449219,44.1731071472168
ES,One-step,0.3 < CV ≤ 0.4,5,7.267298698425293,11.620749473571777,0.8530715107917786,8.380675315856934,58.4399528503418
ES,One-step,0.3 < CV ≤ 0.4,6,9.02893352508545,14.9661226272583,0.8600583672523499,7.3588643074035645,67.28524017333984
ES,One-step,0.3 < CV ≤ 0.4,7,10.384576797485352,18.075946807861328,0.8716921210289001,6.86624813079834,75.15238189697266
