item_id,dept_id,cat_id,state_id,series_id,launch_index,ADI,zero_proportion,CV,CV2,CV Group,figure4_nearest_distance,target_zero_proportion,target_CV2
FOODS_3_555,FOODS_3,FOODS,CA,FOODS_3_555__CA,0,1.001547987616099,0.0015455950540957941,0.27481484871031625,0.07552320107167401,0.2 < CV ≤ 0.3,0.02362149008431388,,
FOODS_3_694,FOODS_3,FOODS,WI,FOODS_3_694__WI,0,1.0020650490449148,0.002060793405461059,0.2530144149272763,0.06401629416099193,0.2 < CV ≤ 0.3,0.06119118939596439,,
FOODS_3_377,FOODS_3,FOODS,CA,FOODS_3_377__CA,0,1.0025826446280992,0.0025759917568263235,0.25667554483391647,0.06588233531578787,0.2 < CV ≤ 0.3,0.047536854023833314,,
FOODS_3_080,FOODS_3,FOODS,CA,FOODS_3_080__CA,0,1.0020650490449148,0.002060793405461059,0.2541262766482531,0.06458016448310447,0.2 < CV ≤ 0.3,0.05729742994590179,,
FOODS_3_694,FOODS_3,FOODS,TX,FOODS_3_694__TX,0,1.0025826446280992,0.0025759917568263235,0.28977509554065967,0.08396960599559844,0.2 < CV ≤ 0.3,0.026929664962165627,,
FOODS_3_042,FOODS_3,FOODS,WI,FOODS_3_042__WI,0,1.0025826446280992,0.0025759917568263235,0.28232352479916734,0.07970657265502605,0.2 < CV ≤ 0.3,0.01673900542743399,,
FOODS_3_586,FOODS_3,FOODS,CA,FOODS_3_586__CA,0,1.0005154639175258,0.0005151983513652647,0.2455670417393815,0.06030317198863113,0.2 < CV ≤ 0.3,0.0987242751196554,,
FOODS_3_586,FOODS_3,FOODS,TX,FOODS_3_586__TX,0,1.0025826446280992,0.0025759917568263235,0.269369669088952,0.0725600186250915,0.2 < CV ≤ 0.3,0.027723777510508654,,
FOODS_3_377,FOODS_3,FOODS,TX,FOODS_3_377__TX,0,1.001547987616099,0.0015455950540957941,0.24705124925095676,0.06103431975645836,0.2 < CV ≤ 0.3,0.08780600359192325,,
FOODS_3_099,FOODS_3,FOODS,CA,FOODS_3_099__CA,10,1.003116883116883,0.0031071983428275773,0.2998254520939182,0.08989530172332244,0.2 < CV ≤ 0.3,0.017293584007695116,,
FOODS_3_226,FOODS_3,FOODS,WI,FOODS_3_226__WI,0,1.0020650490449148,0.002060793405461059,0.25192768088499506,0.0634675563960919,0.2 < CV ≤ 0.3,0.06522466426507427,,
FOODS_3_694,FOODS_3,FOODS,CA,FOODS_3_694__CA,0,1.0020650490449148,0.002060793405461059,0.28457399155154467,0.08098235666757862,0.2 < CV ≤ 0.3,0.019612221240285915,,
FOODS_2_181,FOODS_2,FOODS,TX,FOODS_2_181__TX,0,1.0046583850931676,0.004636785162287493,0.38158173966762365,0.1456046240477701,0.3 < CV ≤ 0.4,0.018424743385462832,,
FOODS_3_377,FOODS_3,FOODS,WI,FOODS_3_377__WI,0,1.030801911842804,0.02988150437918602,0.3779037644190489,0.142811255162088,0.3 < CV ≤ 0.4,0.007343965429306829,,
FOODS_3_714,FOODS_3,FOODS,CA,FOODS_3_714__CA,0,1.0020650490449148,0.002060793405461059,0.3669228914203163,0.13463240824824524,0.3 < CV ≤ 0.4,0.03659956388868722,,
FOODS_3_697,FOODS_3,FOODS,CA,FOODS_3_697__CA,0,1.0036194415718718,0.003606388459556964,0.358432844775532,0.1284741042138806,0.3 < CV ≤ 0.4,0.05070207001372485,,
