Method,Horizon,CV Group,AR,Avg. OFR,Var. of Inv.,Avg. Backorders,Avg. End Inv.
ES,One-step,0.2 < CV ≤ 0.3,2.06 / 19.72,0.91 / 0.88,1.25 / 41.33,9.49 / 11.24,18.92 / 142.10
ES,One-step,0.3 < CV ≤ 0.4,1.89 / 14.76,0.89 / 0.88,1.41 / 38.42,7.61 / 7.37,17.17 / 124.03
ES,One-step,0.4 < CV ≤ 0.6,1.90 / 12.43,0.86 / 0.88,1.32 / 37.06,4.82 / 3.95,10.83 / 77.43
LightGBM,H-step,0.2 < CV ≤ 0.3,0.81 / 3.89,0.92 / 0.91,0.50 / 10.29,7.55 / 8.35,8.82 / 46.15
LightGBM,H-step,0.3 < CV ≤ 0.4,0.75 / 2.79,0.90 / 0.90,0.77 / 13.47,6.16 / 6.45,8.94 / 44.97
LightGBM,H-step,0.4 < CV ≤ 0.6,0.58 / 2.10,0.87 / 0.87,0.61 / 9.14,4.68 / 4.49,5.77 / 26.34
LightGBM,One-step,0.2 < CV ≤ 0.3,1.16 / 17.85,0.91 / 0.88,0.59 / 26.99,8.43 / 11.14,10.20 / 117.12
LightGBM,One-step,0.3 < CV ≤ 0.4,0.98 / 11.96,0.90 / 0.88,0.88 / 25.00,6.63 / 7.61,9.94 / 99.50
LightGBM,One-step,0.4 < CV ≤ 0.6,0.74 / 7.55,0.87 / 0.86,0.68 / 18.11,4.83 / 4.89,6.09 / 49.18
LSTM,H-step,0.2 < CV ≤ 0.3,0.97 / 4.68,0.94 / 0.93,0.58 / 12.68,6.04 / 6.50,11.38 / 57.22
LSTM,H-step,0.3 < CV ≤ 0.4,0.84 / 3.61,0.83 / 0.81,0.59 / 12.48,7.97 / 8.47,8.80 / 48.89
LSTM,H-step,0.4 < CV ≤ 0.6,0.84 / 3.32,0.81 / 0.80,0.70 / 11.31,5.20 / 5.08,6.99 / 33.99
LSTM,One-step,0.2 < CV ≤ 0.3,1.52 / 20.45,0.92 / 0.90,0.72 / 30.10,7.21 / 10.00,11.97 / 128.79
LSTM,One-step,0.3 < CV ≤ 0.4,1.35 / 13.48,0.82 / 0.82,0.82 / 26.60,8.11 / 8.32,10.60 / 109.36
LSTM,One-step,0.4 < CV ≤ 0.6,1.32 / 10.62,0.79 / 0.80,0.87 / 27.75,5.68 / 5.10,7.49 / 64.77
MA,One-step,0.2 < CV ≤ 0.3,1.34 / 13.34,0.91 / 0.88,1.19 / 35.37,9.71 / 11.79,19.14 / 129.51
MA,One-step,0.3 < CV ≤ 0.4,1.26 / 9.73,0.89 / 0.87,1.32 / 32.08,7.82 / 7.97,17.23 / 109.59
MA,One-step,0.4 < CV ≤ 0.6,1.22 / 7.83,0.87 / 0.86,1.15 / 29.85,4.82 / 4.39,10.32 / 66.87
