Method,Horizon,CV Group,LT,AR_ours,VI_ours,OFR_ours,BO_ours,EI_ours,AR_paper,OFR_paper,VI_paper,BO_paper,EI_paper,AR_error,OFR_error,VI_error,BO_error,EI_error
ES,One-step,0.2 < CV ≤ 0.3,2,2.055720329284668,1.2523548603057861,0.9050149321556091,9.490486145019531,18.918161392211914,1.92,0.93,1.9,12.61,38.8,0.07068767150243127,0.24985067844390918,0.34086586299695465,0.24738412807140905,0.5124185208192805
ES,One-step,0.2 < CV ≤ 0.3,10,19.72199058532715,41.3309211730957,0.8835625648498535,11.242667198181152,142.0955047607422,21.55,0.9,44.49,15.33,222.04,0.08482642295465671,0.16437435150146507,0.07100649195109685,0.2666231442804206,0.36004546585866426
ES,One-step,0.3 < CV ≤ 0.4,2,1.8905290365219116,1.4090946912765503,0.887325644493103,7.613398551940918,17.168739318847656,1.94,0.9,1.78,7.7,23.68,0.02550049663818986,0.12674355506896995,0.20837376894575826,0.011246941306374313,0.27496877876487935
ES,One-step,0.3 < CV ≤ 0.4,10,14.762911796569824,38.415138244628906,0.8821924328804016,7.370779037475586,124.02938079833984,15.7,0.89,36.48,7.35,131.22,0.059687146715297776,0.07807567119598402,0.05304655275846792,0.0028270799286511964,0.05479819540969483
ES,One-step,0.4 < CV ≤ 0.6,2,1.9036152362823486,1.3162418603897095,0.8639314770698547,4.817382335662842,10.832842826843262,1.74,0.9,1.55,4.55,13.86,0.09403174498985555,0.36068522930145286,0.150811702974381,0.05876534849732791,0.21840960845286708
ES,One-step,0.4 < CV ≤ 0.6,10,12.434849739074707,37.0608024597168,0.880897581577301,3.950977325439453,77.43128967285156,12.37,0.88,40.92,4.82,86.38,0.005242501137809848,0.00897581577301021,0.09431079032950158,0.18029516069720894,0.10359701698481631
MA,One-step,0.2 < CV ≤ 0.3,2,1.3438881635665894,1.1854878664016724,0.9059833288192749,9.711187362670898,19.14349365234375,1.49,0.93,1.57,12.65,38.84,0.09806163519020848,0.24016671180725147,0.24491218700530426,0.23231720453194482,0.5071191129674627
MA,One-step,0.2 < CV ≤ 0.3,10,13.33906078338623,35.37355041503906,0.8765018582344055,11.791438102722168,129.5123291015625,13.34,0.89,34.6,15.66,196.21,7.040604301119858e-05,0.13498141765594496,0.022356948411533555,0.2470346039130161,0.33993002853288573
MA,One-step,0.3 < CV ≤ 0.4,2,1.2555011510849,1.3172526359558105,0.8893283605575562,7.815356731414795,17.230424880981445,1.47,0.91,1.48,7.64,23.39,0.14591758429598645,0.2067163944244388,0.10996443516499287,0.022952451755863253,0.2633422453620588
MA,One-step,0.3 < CV ≤ 0.4,10,9.726263046264648,32.08208084106445,0.8702306151390076,7.974549293518066,109.59264373779297,9.62,0.88,28.46,8.01,111.52,0.011046054705264992,0.09769384860992436,0.1272691792362773,0.004425806052675828,0.017282606368427433
