Group 1,Group 2,AR p LT2,AR diff LT2,AR p LT10,AR diff LT10,EI p LT2,EI diff LT2,EI p LT10,EI diff LT10,OFR p LT2,OFR diff LT2,OFR p LT10,OFR diff LT10,VI p LT2,VI diff LT2,VI p LT10,VI diff LT10
ES - One-step,LSTM - H-step,0.0,-1.0619,0.0,-11.3101,0.0008,-6.448,0.0,-65.4322,0.5714,-0.034,0.248,-0.0459,0.0,-0.7034,0.0,-26.5167
ES - One-step,LSTM - One-step,0.0,-0.5564,0.8308,-1.0039,0.0083,-5.4342,0.9057,-13.5792,0.2181,-0.0467,0.1713,-0.0497,0.0,-0.5229,0.0,-10.7227
ES - One-step,LightGBM - H-step,0.0,-1.2321,0.0,-12.2764,0.0,-7.4756,0.0,-72.4875,0.9866,0.0136,0.9994,0.0071,0.0,-0.6916,0.0,-27.5418
ES - One-step,LightGBM - One-step,0.0,-1.005,0.0009,-3.371,0.0005,-6.6413,0.3527,-26.051,0.9985,0.0085,0.996,-0.0106,0.0,-0.6023,0.0,-15.7415
ES - One-step,MA - One-step,0.0,-0.6715,0.0,-5.1973,1.0,-0.1169,0.9317,-12.5187,1.0,0.0025,0.9889,-0.0132,0.6681,-0.1148,0.0217,-6.5766
LSTM - H-step,LSTM - One-step,0.0,0.5055,0.0,10.3062,0.9875,1.0137,0.0013,51.8529,0.9904,-0.0126,1.0,-0.0038,0.1779,0.1805,0.0,15.794
LSTM - H-step,LightGBM - H-step,0.0748,-0.1702,0.8523,-0.9663,0.9867,-1.0276,0.9946,-7.0553,0.199,0.0476,0.1203,0.053,1.0,0.0118,0.9964,-1.0252
LSTM - H-step,LightGBM - One-step,0.944,0.0569,0.0,7.9391,1.0,-0.1933,0.0342,39.3811,0.3157,0.0425,0.5458,0.0353,0.7763,0.101,0.0,10.7752
LSTM - H-step,MA - One-step,0.0,0.3904,0.0,6.1128,0.001,6.3311,0.001,52.9134,0.4911,0.0366,0.6274,0.0327,0.0,0.5886,0.0,19.9401
LSTM - One-step,LightGBM - H-step,0.0,-0.6757,0.0,-11.2726,0.7866,-2.0414,0.0001,-58.9082,0.0452,0.0602,0.0768,0.0568,0.2428,-0.1687,0.0,-16.8192
LSTM - One-step,LightGBM - One-step,0.0,-0.4486,0.0515,-2.3672,0.9728,-1.2071,0.9327,-12.4718,0.0864,0.0552,0.4272,0.0391,0.9062,-0.0794,0.157,-5.0188
LSTM - One-step,MA - One-step,0.4426,-0.1151,0.0,-4.1934,0.0106,5.3174,1.0,1.0605,0.1695,0.0492,0.5067,0.0365,0.0,0.4081,0.3511,4.1461
LightGBM - H-step,LightGBM - One-step,0.0045,0.2271,0.0,8.9054,0.9949,0.8343,0.0061,46.4364,0.9999,-0.0051,0.9589,-0.0177,0.8545,0.0892,0.0,11.8004
LightGBM - H-step,MA - One-step,0.0,0.5606,0.0,7.0792,0.0001,7.3587,0.0001,59.9687,0.9948,-0.011,0.9278,-0.0203,0.0,0.5768,0.0,20.9653
LightGBM - One-step,MA - One-step,0.0,0.3335,0.2386,-1.8262,0.0006,6.5244,0.907,13.5323,0.9997,-0.006,1.0,-0.0026,0.0,0.4875,0.0002,9.1649
