Metric,LT,Group 1,Group 2,ours_p,paper_p,significance_agreement,ours_diff,paper_diff
AR,2,ES - One-step,LSTM - H-step,0.0,0.98,False,-1.0619,-0.08
AR,10,ES - One-step,LSTM - H-step,0.0,0.0,True,-11.3101,12.53
EI,2,ES - One-step,LSTM - H-step,0.0008,0.96,False,-6.448,4.72
EI,10,ES - One-step,LSTM - H-step,0.0,0.19,False,-65.4322,-63.54
OFR,2,ES - One-step,LSTM - H-step,0.5714,0.0,False,-0.034,0.03
OFR,10,ES - One-step,LSTM - H-step,0.248,0.0,False,-0.0459,0.04
VI,2,ES - One-step,LSTM - H-step,0.0,1.0,False,-0.7034,-0.03
VI,10,ES - One-step,LSTM - H-step,0.0,0.0,True,-26.5167,-28.87
AR,2,ES - One-step,LSTM - One-step,0.0,0.43,False,-0.5564,-0.22
AR,10,ES - One-step,LSTM - One-step,0.8308,0.83,True,-1.0039,1.26
EI,2,ES - One-step,LSTM - One-step,0.0083,1.0,False,-5.4342,-1.2
EI,10,ES - One-step,LSTM - One-step,0.9057,1.0,True,-13.5792,8.96
OFR,2,ES - One-step,LSTM - One-step,0.2181,0.02,False,-0.0467,0.02
OFR,10,ES - One-step,LSTM - One-step,0.1713,0.0,False,-0.0497,0.03
VI,2,ES - One-step,LSTM - One-step,0.0,0.78,False,-0.5229,-0.14
VI,10,ES - One-step,LSTM - One-step,0.0,0.0,True,-10.7227,-10.45
AR,2,ES - One-step,LightGBM - H-step,0.0,0.0,True,-1.2321,-0.86
AR,10,ES - One-step,LightGBM - H-step,0.0,0.0,True,-12.2764,-11.12
EI,2,ES - One-step,LightGBM - H-step,0.0,1.0,False,-7.4756,-1.89
EI,10,ES - One-step,LightGBM - H-step,0.0,0.25,False,-72.4875,-59.88
OFR,2,ES - One-step,LightGBM - H-step,0.9866,0.78,True,0.0136,-0.01
OFR,10,ES - One-step,LightGBM - H-step,0.9994,0.0,False,0.0071,0.03
VI,2,ES - One-step,LightGBM - H-step,0.0,0.72,False,-0.6916,-0.16
VI,10,ES - One-step,LightGBM - H-step,0.0,0.0,True,-27.5418,-16.76
AR,2,ES - One-step,LightGBM - One-step,0.0,0.0,True,-1.005,-0.66
AR,10,ES - One-step,LightGBM - One-step,0.0009,0.41,False,-3.371,-1.98
EI,2,ES - One-step,LightGBM - One-step,0.0005,1.0,False,-6.6413,-1.63
EI,10,ES - One-step,LightGBM - One-step,0.3527,1.0,True,-26.051,8.67
OFR,2,ES - One-step,LightGBM - One-step,0.9985,0.53,True,0.0085,0.01
OFR,10,ES - One-step,LightGBM - One-step,0.996,0.0,False,-0.0106,0.02
VI,2,ES - One-step,LightGBM - One-step,0.0,1.0,False,-0.6023,-0.06
VI,10,ES - One-step,LightGBM - One-step,0.0,0.0,True,-15.7415,-9.14
AR,2,ES - One-step,MA - One-step,0.0,0.01,True,-0.6715,0.42
AR,10,ES - One-step,MA - One-step,0.0,0.0,True,-5.1973,6.23
EI,2,ES - One-step,MA - One-step,1.0,1.0,True,-0.1169,-0.29
EI,10,ES - One-step,MA - One-step,0.9317,0.98,True,-12.5187,-18.7
OFR,2,ES - One-step,MA - One-step,1.0,0.94,True,0.0025,0.0
OFR,10,ES - One-step,MA - One-step,0.9889,0.35,True,-0.0132,-0.01
VI,2,ES - One-step,MA - One-step,0.6681,0.1,True,-0.1148,-0.29
VI,10,ES - One-step,MA - One-step,0.0217,0.0,True,-6.5766,-9.44
AR,2,LSTM - H-step,LSTM - One-step,0.0,0.87,False,0.5055,-0.13
AR,10,LSTM - H-step,LSTM - One-step,0.0,0.0,True,10.3062,-11.27
