A,Method,Horizon,phi,AR (LT2 / LT10),OFR (LT2 / LT10),VI (LT2 / LT10),Backorders (LT2 / LT10),End inventory (LT2 / LT10)
0,ES,One-step,0.0,2.06 / 31.71,0.97 / 0.94,1.67 / 39.20,3.67 / 6.08,11.03 / 69.23
0,ES,One-step,0.3,2.12 / 30.19,0.96 / 0.93,1.80 / 56.27,3.99 / 7.26,12.01 / 82.74
0,ES,One-step,0.6,1.85 / 23.82,0.96 / 0.91,1.53 / 69.50,4.36 / 9.17,13.17 / 105.23
0,ES,One-step,0.9,1.30 / 9.09,0.96 / 0.89,0.67 / 41.41,4.79 / 11.99,14.72 / 141.03
0,LightGBM,H-step,0.0,1.71 / 2.82,0.97 / 0.99,1.18 / 4.45,2.76 / 1.62,9.67 / 23.78
0,LightGBM,H-step,0.3,1.65 / 3.09,0.97 / 0.98,1.27 / 8.29,3.02 / 2.13,10.17 / 30.46
0,LightGBM,H-step,0.6,1.92 / 4.99,0.97 / 0.97,1.28 / 15.82,3.51 / 3.37,12.12 / 49.12
0,LightGBM,H-step,0.9,1.60 / 8.53,0.96 / 0.94,0.64 / 24.78,4.33 / 7.38,15.17 / 111.47
0,LightGBM,One-step,0.0,3.61 / 32.94,0.97 / 0.96,1.74 / 20.82,3.48 / 4.14,11.80 / 54.12
0,LightGBM,One-step,0.3,2.78 / 29.16,0.97 / 0.95,1.65 / 32.83,3.70 / 5.49,12.10 / 67.25
0,LightGBM,One-step,0.6,2.65 / 30.70,0.96 / 0.92,1.56 / 56.70,4.11 / 8.09,13.62 / 100.78
0,LightGBM,One-step,0.9,1.73 / 14.53,0.96 / 0.90,0.69 / 43.61,4.73 / 11.58,15.79 / 152.00
0,LSTM,H-step,0.0,1.30 / 1.79,0.97 / 0.98,1.07 / 4.84,2.85 / 1.92,9.05 / 23.68
0,LSTM,H-step,0.3,1.16 / 1.84,0.97 / 0.98,1.15 / 7.99,3.13 / 2.36,9.82 / 30.96
0,LSTM,H-step,0.6,1.54 / 3.59,0.97 / 0.97,1.37 / 16.89,3.26 / 3.43,13.41 / 55.98
0,LSTM,H-step,0.9,1.38 / 6.91,0.96 / 0.93,0.64 / 25.79,4.27 / 8.79,15.48 / 115.22
0,LSTM,One-step,0.0,1.26 / 1.33,0.97 / 0.98,1.03 / 4.84,2.96 / 2.14,8.77 / 23.01
0,LSTM,One-step,0.3,1.36 / 9.02,0.97 / 0.96,1.28 / 16.72,3.19 / 3.88,10.33 / 46.69
0,LSTM,One-step,0.6,2.15 / 26.89,0.96 / 0.93,1.47 / 48.63,4.12 / 7.83,12.95 / 93.10
0,LSTM,One-step,0.9,1.66 / 15.11,0.96 / 0.90,0.70 / 45.19,4.68 / 11.72,16.26 / 156.75
0,MA,One-step,0.0,1.50 / 14.21,0.97 / 0.95,1.36 / 31.46,3.37 / 5.21,10.13 / 58.13
0,MA,One-step,0.3,1.52 / 16.30,0.97 / 0.94,1.54 / 48.11,3.76 / 6.45,11.32 / 72.28
0,MA,One-step,0.6,1.46 / 16.00,0.96 / 0.92,1.51 / 64.91,4.30 / 8.49,13.01 / 96.18
0,MA,One-step,0.9,1.21 / 7.21,0.96 / 0.90,0.78 / 43.44,4.98 / 11.72,15.34 / 136.55
10,ES,One-step,0.0,2.00 / 32.41,0.96 / 0.90,1.71 / 65.77,4.75 / 9.44,14.30 / 111.81
10,ES,One-step,0.3,2.00 / 29.18,0.95 / 0.88,1.86 / 77.25,5.58 / 10.73,16.80 / 133.54
10,ES,One-step,0.6,1.87 / 23.13,0.94 / 0.87,1.85 / 80.90,6.74 / 12.09,20.32 / 165.61
10,ES,One-step,0.9,1.48 / 12.44,0.94 / 0.86,1.16 / 62.70,7.41 / 13.99,22.58 / 205.63
10,LightGBM,H-step,0.0,1.66 / 1.96,0.97 / 0.98,1.02 / 3.72,3.26 / 1.90,11.07 / 26.54
10,LightGBM,H-step,0.3,1.84 / 1.79,0.97 / 0.98,1.07 / 5.01,3.69 / 2.40,12.68 / 33.76
10,LightGBM,H-step,0.6,1.96 / 2.55,0.96 / 0.97,1.01 / 8.06,4.37 / 3.57,15.53 / 52.49
10,LightGBM,H-step,0.9,1.84 / 6.63,0.95 / 0.94,0.75 / 17.50,5.43 / 7.39,19.89 / 115.16
10,LightGBM,One-step,0.0,3.02 / 33.60,0.96 / 0.91,1.48 / 52.86,4.11 / 8.42,13.63 / 106.10
10,LightGBM,One-step,0.3,2.68 / 31.12,0.96 / 0.89,1.43 / 69.70,4.51 / 10.42,15.12 / 138.40
10,LightGBM,One-step,0.6,2.52 / 27.27,0.95 / 0.88,1.30 / 80.56,5.33 / 11.59,17.70 / 176.39
10,LightGBM,One-step,0.9,2.01 / 17.07,0.94 / 0.87,0.85 / 67.17,6.21 / 13.21,21.25 / 234.23
