Group 1,Group 2,Amplification Ratio p-adj,Amplification Ratio Mean diff.,Avg. End Inventory p-adj,Avg. End Inventory Mean diff.,Avg. OFR p-adj,Avg. OFR Mean diff.,Variance of Inventory p-adj,Variance of Inventory Mean diff.
ES - One-step,LSTM - H-step,0.0553 / 0.0000,-0.35 / -19.16,0.4195 / 0.0137,-7.45 / -106.86,0.1764 / 0.0000,0.02 / 0.08,0.0000 / 0.0000,-0.81 / -49.11
ES - One-step,LSTM - One-step,0.9719 / 0.5439,-0.09 / -4.27,0.7766 / 1.0000,-5.19 / 4.90,0.5630 / 0.9536,0.02 / 0.01,0.0011 / 0.8915,-0.65 / -6.50
ES - One-step,LightGBM - H-step,0.9606 / 0.0000,-0.10 / -18.44,0.4127 / 0.0130,-7.49 / -107.45,0.1419 / 0.0000,0.02 / 0.08,0.0000 / 0.0000,-0.79 / -49.53
ES - One-step,LightGBM - One-step,0.0001 / 0.9281,0.61 / 2.43,0.8740 / 0.9983,-4.40 / 13.18,0.7475 / 0.9874,0.01 / 0.01,0.0314 / 0.9994,-0.48 / -2.06
ES - One-step,MA - One-step,0.4132 / 0.3969,-0.23 / -4.86,0.9941 / 1.0000,2.14 / -4.77,0.9973 / 0.9983,-0.00 / 0.01,0.6384 / 0.9964,0.24 / -2.98
LSTM - H-step,LSTM - One-step,0.2865 / 0.0000,0.26 / 14.89,0.9925 / 0.0086,2.26 / 111.76,0.9781 / 0.0002,-0.01 / -0.07,0.8904 / 0.0000,0.17 / 42.61
LSTM - H-step,LightGBM - H-step,0.3189 / 0.9997,0.25 / 0.72,1.0000 / 1.0000,-0.04 / -0.59,1.0000 / 0.9989,0.00 / 0.01,1.0000 / 1.0000,0.02 / -0.42
LSTM - H-step,LightGBM - One-step,0.0000 / 0.0000,0.96 / 21.59,0.9712 / 0.0038,3.05 / 120.04,0.9094 / 0.0001,-0.01 / -0.07,0.2723 / 0.0000,0.33 / 47.05
LSTM - H-step,MA - One-step,0.9169 / 0.0000,0.12 / 14.29,0.1613 / 0.0212,9.59 / 102.09,0.0624 / 0.0000,-0.03 / -0.07,0.0000 / 0.0000,1.05 / 46.13
LSTM - One-step,LightGBM - H-step,1.0000 / 0.0000,-0.01 / -14.17,0.9918 / 0.0081,-2.31 / -112.35,0.9607 / 0.0000,0.01 / 0.07,0.9341 / 0.0000,-0.15 / -43.02
LSTM - One-step,LightGBM - One-step,0.0000 / 0.0995,0.71 / 6.70,1.0000 / 0.9998,0.79 / 8.28,0.9997 / 0.9999,-0.00 / -0.00,0.8863 / 0.9773,0.17 / 4.44
LSTM - One-step,MA - One-step,0.8677 / 0.9999,-0.14 / -0.59,0.4377 / 0.9996,7.33 / -9.67,0.2896 / 0.9977,-0.02 / -0.01,0.0000 / 0.9920,0.89 / 3.53
LightGBM - H-step,LightGBM - One-step,0.0000 / 0.0000,0.71 / 20.87,0.9693 / 0.0036,3.10 / 120.62,0.8690 / 0.0000,-0.01 / -0.07,0.3397 / 0.0000,0.31 / 47.47
LightGBM - H-step,MA - One-step,0.8932 / 0.0000,-0.13 / 13.57,0.1575 / 0.0201,9.64 / 102.68,0.0479 / 0.0000,-0.03 / -0.08,0.0000 / 0.0000,1.03 / 46.55
LightGBM - One-step,MA - One-step,0.0000 / 0.0565,-0.84 / -7.30,0.5648 / 0.9925,6.54 / -17.94,0.4565 / 0.9999,-0.02 / -0.00,0.0002 / 1.0000,0.72 / -0.92
