group1,group2,paper_mean_diff,paper_p,paper_reject,ours_mean_diff,ours_p,ours_reject,Metric,LT,Significance agreement
ES - One-step,LSTM - H-step,0.1333,0.9202,False,-0.3523,0.0553,False,Amplification ratio,2,True
ES - One-step,LSTM - One-step,-0.1083,0.9661,False,-0.0935,0.9719,False,Amplification ratio,2,True
ES - One-step,LightGBM - H-step,0.5725,0.001,True,-0.1012,0.9606,False,Amplification ratio,2,False
ES - One-step,LightGBM - One-step,0.7342,0.0,True,0.6118,0.0001,True,Amplification ratio,2,True
ES - One-step,MA - One-step,-0.2675,0.3636,False,-0.2308,0.4132,False,Amplification ratio,2,True
LSTM - H-step,LSTM - One-step,-0.2417,0.4788,False,0.2588,0.2865,False,Amplification ratio,2,True
LSTM - H-step,LightGBM - H-step,0.4392,0.0213,True,0.2511,0.3189,False,Amplification ratio,2,False
LSTM - H-step,LightGBM - One-step,0.6008,0.0005,True,0.9641,0.0,True,Amplification ratio,2,True
LSTM - H-step,MA - One-step,-0.4008,0.0457,True,0.1215,0.9169,False,Amplification ratio,2,False
LSTM - One-step,LightGBM - H-step,0.6808,0.0001,True,-0.0077,1.0,False,Amplification ratio,2,False
LSTM - One-step,LightGBM - One-step,0.8425,0.0,True,0.7053,0.0,True,Amplification ratio,2,True
LSTM - One-step,MA - One-step,-0.1592,0.8451,False,-0.1373,0.8677,False,Amplification ratio,2,True
LightGBM - H-step,LightGBM - One-step,0.1617,0.8363,False,0.713,0.0,True,Amplification ratio,2,False
LightGBM - H-step,MA - One-step,-0.84,0.0,True,-0.1297,0.8932,False,Amplification ratio,2,False
LightGBM - One-step,MA - One-step,-1.0017,0.0,True,-0.8426,0.0,True,Amplification ratio,2,True
ES - One-step,LSTM - H-step,-18.9317,0.0,True,-19.1563,0.0,True,Amplification ratio,10,True
ES - One-step,LSTM - One-step,-4.9683,0.3333,False,-4.2686,0.5439,False,Amplification ratio,10,True
ES - One-step,LightGBM - H-step,-17.4808,0.0,True,-18.437,0.0,True,Amplification ratio,10,True
ES - One-step,LightGBM - One-step,3.3933,0.7322,False,2.4319,0.9281,False,Amplification ratio,10,True
ES - One-step,MA - One-step,-4.73,0.3883,False,-4.8636,0.3969,False,Amplification ratio,10,True
LSTM - H-step,LSTM - One-step,13.9633,0.0,True,14.8877,0.0,True,Amplification ratio,10,True
LSTM - H-step,LightGBM - H-step,1.4508,0.9911,False,0.7194,0.9997,False,Amplification ratio,10,True
LSTM - H-step,LightGBM - One-step,22.325,0.0,True,21.5883,0.0,True,Amplification ratio,10,True
LSTM - H-step,MA - One-step,14.2017,0.0,True,14.2927,0.0,True,Amplification ratio,10,True
LSTM - One-step,LightGBM - H-step,-12.5125,0.0,True,-14.1684,0.0,True,Amplification ratio,10,True
LSTM - One-step,LightGBM - One-step,8.3617,0.0129,True,6.7005,0.0995,False,Amplification ratio,10,False
LSTM - One-step,MA - One-step,0.2383,1.0,False,-0.595,0.9999,False,Amplification ratio,10,True
LightGBM - H-step,LightGBM - One-step,20.8742,0.0,True,20.8689,0.0,True,Amplification ratio,10,True
LightGBM - H-step,MA - One-step,12.7508,0.0,True,13.5733,0.0,True,Amplification ratio,10,True
LightGBM - One-step,MA - One-step,-8.1233,0.0171,True,-7.2956,0.0565,False,Amplification ratio,10,False
ES - One-step,LSTM - H-step,-5.5525,0.7042,False,-7.4481,0.4195,False,Average end inventory,2,True
ES - One-step,LSTM - One-step,-6.3392,0.5748,False,-5.1861,0.7766,False,Average end inventory,2,True
ES - One-step,LightGBM - H-step,-5.3342,0.7381,False,-7.4929,0.4127,False,Average end inventory,2,True
ES - One-step,LightGBM - One-step,-3.7558,0.9251,False,-4.3971,0.874,False,Average end inventory,2,True
ES - One-step,MA - One-step,2.015,0.9951,False,2.1438,0.9941,False,Average end inventory,2,True
LSTM - H-step,LSTM - One-step,-0.7867,0.9999,False,2.2619,0.9925,False,Average end inventory,2,True
LSTM - H-step,LightGBM - H-step,0.2183,1.0,False,-0.0448,1.0,False,Average end inventory,2,True
LSTM - H-step,LightGBM - One-step,1.7967,0.9972,False,3.0509,0.9712,False,Average end inventory,2,True
LSTM - H-step,MA - One-step,7.5675,0.3766,False,9.5919,0.1613,False,Average end inventory,2,True
LSTM - One-step,LightGBM - H-step,1.005,0.9998,False,-2.3067,0.9918,False,Average end inventory,2,True
LSTM - One-step,LightGBM - One-step,2.5833,0.9848,False,0.789,1.0,False,Average end inventory,2,True
LSTM - One-step,MA - One-step,8.3542,0.269,False,7.33,0.4377,False,Average end inventory,2,True
LightGBM - H-step,LightGBM - One-step,1.5783,0.9985,False,3.0957,0.9693,False,Average end inventory,2,True
LightGBM - H-step,MA - One-step,7.3492,0.4097,False,9.6367,0.1575,False,Average end inventory,2,True
LightGBM - One-step,MA - One-step,5.7708,0.6692,False,6.541,0.5648,False,Average end inventory,2,True
ES - One-step,LSTM - H-step,-112.1783,0.0057,True,-106.8606,0.0137,True,Average end inventory,10,True
ES - One-step,LSTM - One-step,3.1733,1.0,False,4.8986,1.0,False,Average end inventory,10,True
ES - One-step,LightGBM - H-step,-105.2825,0.0114,True,-107.4477,0.013,True,Average end inventory,10,True
ES - One-step,LightGBM - One-step,2.1675,1.0,False,13.1767,0.9983,False,Average end inventory,10,True
ES - One-step,MA - One-step,-5.3967,1.0,False,-4.7674,1.0,False,Average end inventory,10,True
LSTM - H-step,LSTM - One-step,115.3517,0.0041,True,111.7593,0.0086,True,Average end inventory,10,True
LSTM - H-step,LightGBM - H-step,6.8958,0.9999,False,-0.5871,1.0,False,Average end inventory,10,True
LSTM - H-step,LightGBM - One-step,114.3458,0.0046,True,120.0373,0.0038,True,Average end inventory,10,True
LSTM - H-step,MA - One-step,106.7817,0.0098,True,102.0932,0.0212,True,Average end inventory,10,True
LSTM - One-step,LightGBM - H-step,-108.4558,0.0083,True,-112.3463,0.0081,True,Average end inventory,10,True
LSTM - One-step,LightGBM - One-step,-1.0058,1.0,False,8.2781,0.9998,False,Average end inventory,10,True
LSTM - One-step,MA - One-step,-8.57,0.9997,False,-9.666,0.9996,False,Average end inventory,10,True
LightGBM - H-step,LightGBM - One-step,107.45,0.0092,True,120.6244,0.0036,True,Average end inventory,10,True
LightGBM - H-step,MA - One-step,99.8858,0.0191,True,102.6803,0.0201,True,Average end inventory,10,True
LightGBM - One-step,MA - One-step,-7.5642,0.9999,False,-17.9441,0.9925,False,Average end inventory,10,True
ES - One-step,LSTM - H-step,0.0167,0.5764,False,0.0228,0.1764,False,Average OFR,2,True
ES - One-step,LSTM - One-step,0.0133,0.7779,False,0.0159,0.563,False,Average OFR,2,True
ES - One-step,LightGBM - H-step,0.0067,0.9861,False,0.0238,0.1419,False,Average OFR,2,True
ES - One-step,LightGBM - One-step,0.0042,0.9985,False,0.0131,0.7475,False,Average OFR,2,True
ES - One-step,MA - One-step,-0.0033,0.9995,False,-0.0044,0.9973,False,Average OFR,2,True
LSTM - H-step,LSTM - One-step,-0.0033,0.9995,False,-0.0069,0.9781,False,Average OFR,2,True
LSTM - H-step,LightGBM - H-step,-0.01,0.9217,False,0.001,1.0,False,Average OFR,2,True
LSTM - H-step,LightGBM - One-step,-0.0125,0.821,False,-0.0098,0.9094,False,Average OFR,2,True
LSTM - H-step,MA - One-step,-0.02,0.3723,False,-0.0272,0.0624,False,Average OFR,2,True
LSTM - One-step,LightGBM - H-step,-0.0067,0.9861,False,0.008,0.9607,False,Average OFR,2,True
LSTM - One-step,LightGBM - One-step,-0.0092,0.9448,False,-0.0028,0.9997,False,Average OFR,2,True
LSTM - One-step,MA - One-step,-0.0167,0.5764,False,-0.0203,0.2896,False,Average OFR,2,True
LightGBM - H-step,LightGBM - One-step,-0.0025,0.9999,False,-0.0108,0.869,False,Average OFR,2,True
LightGBM - H-step,MA - One-step,-0.01,0.9217,False,-0.0282,0.0479,True,Average OFR,2,False
LightGBM - One-step,MA - One-step,-0.0075,0.9765,False,-0.0175,0.4565,False,Average OFR,2,True
ES - One-step,LSTM - H-step,0.0667,0.0003,True,0.0782,0.0,True,Average OFR,10,True
ES - One-step,LSTM - One-step,0.0058,0.9985,False,0.012,0.9536,False,Average OFR,10,True
ES - One-step,LightGBM - H-step,0.0633,0.0006,True,0.0835,0.0,True,Average OFR,10,True
ES - One-step,LightGBM - One-step,0.0125,0.9529,False,0.0089,0.9874,False,Average OFR,10,True
ES - One-step,MA - One-step,0.005,0.9993,False,0.0058,0.9983,False,Average OFR,10,True
LSTM - H-step,LSTM - One-step,-0.0608,0.001,True,-0.0662,0.0002,True,Average OFR,10,True
LSTM - H-step,LightGBM - H-step,-0.0033,0.9999,False,0.0053,0.9989,False,Average OFR,10,True
LSTM - H-step,LightGBM - One-step,-0.0542,0.0047,True,-0.0693,0.0001,True,Average OFR,10,True
LSTM - H-step,MA - One-step,-0.0617,0.0008,True,-0.0724,0.0,True,Average OFR,10,True
LSTM - One-step,LightGBM - H-step,0.0575,0.0022,True,0.0715,0.0,True,Average OFR,10,True
LSTM - One-step,LightGBM - One-step,0.0067,0.9972,False,-0.0031,0.9999,False,Average OFR,10,True
LSTM - One-step,MA - One-step,-0.0008,1.0,False,-0.0062,0.9977,False,Average OFR,10,True
LightGBM - H-step,LightGBM - One-step,-0.0508,0.0096,True,-0.0746,0.0,True,Average OFR,10,True
